"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"transcriptomics","Pearson.est","EGFR inhibitor",-0.65533,-1.71,0.0258,1232,0.333,"GW.583340, BIBX.1382, lapatinib, tucatinib, tyrphostin.AG.1478, rociletinib, TAK.285, BIBU.1361, neratinib, XL.647, BMS.690514, PD.168393, PD.153035, ARRY.334543, icotinib, WZ8040, dacomitinib, osimertinib, poziotinib, erlotinib, afatinib, AZD8931, pelitinib, canertinib, gefitinib",1.58838029403677,0.47755576649368,FALSE
"transcriptomics","Pearson.est","Abl kinase inhibitor",0.32026,0.813,0.684,326,0.753,"GZD824, KW.2449, ponatinib, nilotinib, flumatinib",0.164943898279884,0.123205023799299,FALSE
"transcriptomics","Pearson.est","acetylcholine receptor agonist",0.68226,1.71,0.0257,320,0.378,"oxiracetam, pilocarpine, tremorine, xanomeline",1.59006687666871,0.422508200162775,FALSE
"transcriptomics","Pearson.est","acetylcholine receptor antagonist",-0.5322,-1.39,0.129,1021,0.508,"dicycloverine, darifenacin, diphemanil",0.889410289700751,0.294136287716081,FALSE
"transcriptomics","Pearson.est","adenosine receptor antagonist",-0.68287,-1.78,0.0229,1442,0.331,"MRS.1220, CGS.15943",1.64016451766011,0.480172006224281,FALSE
"transcriptomics","Pearson.est","adrenergic receptor agonist",-0.16807,-0.442,0.993,1390,0.993,"A61603",0.00305075150461883,0.00305075150461883,FALSE
"transcriptomics","Pearson.est","adrenergic receptor antagonist",-0.19743,-0.502,0.975,1195,1,"metoprolol, atenolol...., RS.17053, pindolol",0.0109953843014632,0,FALSE
"transcriptomics","Pearson.est","AKT inhibitor",-0.40618,-1.06,0.397,1036,0.744,"uprosertib, MK.2206, AZD5363, GDC.0068, CCT128930, A.674563, triciribine, GSK2110183",0.401209493236885,0.128427064454121,FALSE
"transcriptomics","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.35397,-0.92,0.519,1158,0.839,"CEP.37440, GW.788388, lorlatinib, NVP.TAE684, AP26113",0.284832642151542,0.0762380391712997,FALSE
"transcriptomics","Pearson.est","androgen receptor antagonist",0.51325,1.33,0.156,403,0.74,"RU.58841, bicalutamide, nilutamide",0.806875401645538,0.130768280269024,FALSE
"transcriptomics","Pearson.est","antioxidant",0.35423,0.888,0.563,190,0.674,"mesna, trolox",0.249491605148654,0.17134010346468,FALSE
"transcriptomics","Pearson.est","AP inhibitor",-0.43104,-1.12,0.296,968,0.728,"LCL.161, embelin, GDC.0152, tanshinone.i, birinapant",0.528708288941061,0.137868620686963,FALSE
"transcriptomics","Pearson.est","ATPase inhibitor",0.38535,0.976,0.468,409,0.687,"evodiamine, ouabain, omeprazole, oligomycin.a, digitoxigenin, digitoxin",0.329754146925876,0.16304326294045,FALSE
"transcriptomics","Pearson.est","Aurora kinase inhibitor",0.39912,1.05,0.39,400,0.661,"ENMD.2076, GSK1070916, PHA.680632, KW.2449, AMG900, barasertib, CCT137690, danusertib, AT.9283",0.408935392973501,0.17979854051436,FALSE
"transcriptomics","Pearson.est","bacterial 50S ribosomal subunit inhibitor",0.57175,1.47,0.0938,280,0.74,"valnemulin, radezolid, azalomycin.b",1.02779716162094,0.130768280269024,FALSE
"transcriptomics","Pearson.est","bacterial DNA gyrase inhibitor",0.45254,1.17,0.28,289,0.647,"novobiocin, nadifloxacin, norfloxacin, finafloxacin",0.552841968657781,0.1890957193313,FALSE
"transcriptomics","Pearson.est","BCL inhibitor",0.42122,1.06,0.383,283,0.69,"venetoclax, TW.37, navitoclax",0.416801226031377,0.161150909262745,FALSE
"transcriptomics","Pearson.est","Bcr.Abl kinase inhibitor",0.28362,0.734,0.787,326,0.805,"GZD824, ponatinib, nilotinib, flumatinib",0.104025267640935,0.0942041196321315,FALSE
"transcriptomics","Pearson.est","benzodiazepine receptor agonist",-0.28516,-0.73,0.754,975,0.895,"CGS.20625, nefiracetam, bentazepam, indiplon, temazepam, lorazepam, gamma.aminobutyric.acid",0.122628654130226,0.048176964684088,FALSE
