"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H358","Pearson.est","EGFR inhibitor",0.32984,0.937,0.516,70,0.754,"pelitinib, vandetanib, canertinib, brigatinib, erlotinib, XL.647, BMS.690514, rociletinib, afatinib",0.287350298372789,0.122628654130226,FALSE
"H358","Pearson.est","Abl kinase inhibitor",-0.47766,-1.15,0.28,1109,0.68,"flumatinib, nilotinib, KW.2449, ponatinib, imatinib, tozasertib",0.552841968657781,0.167491087293764,FALSE
"H358","Pearson.est","acetylcholine receptor agonist",-0.40273,-0.966,0.524,945,0.814,"xanomeline, nicotine, nefiracetam, pilocarpine",0.280668713016273,0.0893755951107988,FALSE
"H358","Pearson.est","acetylcholine receptor antagonist",-0.51404,-1.25,0.197,830,0.527,"diphemanil, dicycloverine, iododexetimide, methscopolamine",0.705533773838407,0.278189384787453,FALSE
"H358","Pearson.est","adenosine receptor antagonist",-0.60691,-1.49,0.0556,1227,0.48,"MRS.1220, CGS.15943, SCH.58261",1.25492520841794,0.318758762624413,FALSE
"H358","Pearson.est","adrenergic receptor agonist",-0.40384,-0.969,0.506,1137,0.829,"clenbuterol, isoxsuprine, isoetharine, buphenine, norepinephrine",0.295849483160201,0.0814454694497265,FALSE
"H358","Pearson.est","adrenergic receptor antagonist",0.38547,1.13,0.273,218,0.763,"prazosin, vincamine, RS.17053, practolol, imiloxan, atenolol...., levobunolol, idazoxan",0.563837352959244,0.11747546204512,FALSE
"H358","Pearson.est","AKT inhibitor",-0.60187,-1.44,0.071,1106,0.463,"GDC.0068, triciribine, ONC201, CCT128930, uprosertib, A.674563",1.14874165128092,0.334419008982047,FALSE
"H358","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.24096,-0.583,0.944,1163,0.951,"AP26113, alectinib, DMH1",0.025028005701931,0.0218194830625861,FALSE
"H358","Pearson.est","androgen receptor antagonist",-0.61522,-1.5,0.0616,995,0.517,"nilutamide, flutamide, bicalutamide",1.21041928783557,0.286509456906058,FALSE
"H358","Pearson.est","antioxidant",-0.45293,-1.12,0.329,1274,0.725,"benfotiamine, trolox",0.482804102050026,0.139661993429006,FALSE
"H358","Pearson.est","AP inhibitor",0.62938,1.81,0.0258,25,0.54,"GDC.0152, birinapant",1.58838029403677,0.267606240177031,FALSE
"H358","Pearson.est","ATPase inhibitor",0.31855,0.903,0.557,124,0.721,"k.strophanthidin, digitoxin, ouabain",0.254144804826271,0.142064735280571,FALSE
"H358","Pearson.est","Aurora kinase inhibitor",-0.63562,-1.52,0.0553,1131,0.543,"CCT137690, CCT129202, KW.2449, ENMD.2076, barasertib.HQPA, AMG900, aurora.a.inhibitor.i, MK.8745, PF.03814735, SNS.314, AT.9283, barasertib, hesperadin, tozasertib",1.2572748686953,0.265200170411153,FALSE
