"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H1650","Pearson.est","EGFR inhibitor",-0.69499,-1.87,0.0124,1196,0.547,"ARRY.334543, BIBU.1361, AST.1306, WZ.4002, CNX.2006, WZ.3146, TAK.285, gefitinib, GW.583340, XL.647, neratinib, PD.168393, WZ8040, vandetanib, PD.153035, lapatinib, BMS.690514, AZD8931, AEE788, BMS.599626, pelitinib, dacomitinib, canertinib, osimertinib, afatinib, poziotinib, erlotinib, icotinib",1.90657831483776,0.262012673666569,FALSE
"H1650","Pearson.est","Abl kinase inhibitor",0.34763,0.875,0.588,519,0.814,"tozasertib, KW.2449, flumatinib, bafetinib, GZD824, imatinib",0.230622673923862,0.0893755951107988,FALSE
"H1650","Pearson.est","acetylcholine receptor agonist",0.7087,1.73,0.0188,399,0.157,"xanomeline, oxiracetam, nefiracetam, tremorine, pilocarpine",1.72584215073632,0.804100347590766,TRUE
"H1650","Pearson.est","acetylcholine receptor antagonist",-0.6503,-1.74,0.0312,1235,0.401,"iododexetimide, darifenacin",1.50584540598156,0.396855627379818,FALSE
"H1650","Pearson.est","adenosine receptor antagonist",-0.5796,-1.52,0.105,1335,0.454,"MRS.1220, CGS.15943",0.978810700930062,0.342944147142896,FALSE
"H1650","Pearson.est","adrenergic receptor agonist",-0.3338,-0.877,0.579,1109,0.715,"A61603, isoxsuprine, methyldopa, ritodrine, xylazine, isoetharine",0.237321436272564,0.145693958198919,FALSE
"H1650","Pearson.est","adrenergic receptor antagonist",-0.23368,-0.648,0.881,1277,0.924,"metoprolol, prazosin, practolol",0.0550240915879521,0.0343280287798933,FALSE
"H1650","Pearson.est","AKT inhibitor",0.40596,1.02,0.416,100,0.676,"uprosertib, GDC.0068",0.380906669373257,0.170053304058364,FALSE
"H1650","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.40275,-1.11,0.313,1301,0.782,"lorlatinib, AZD3463, AP26113",0.504455662453552,0.106793246940152,FALSE
"H1650","Pearson.est","androgen receptor antagonist",-0.60305,-1.6,0.0876,1174,0.467,"bicalutamide, enzalutamide, RU.58841, flutamide",1.05749589383192,0.330683119433888,FALSE
"H1650","Pearson.est","antioxidant",-0.51703,-1.39,0.12,1434,0.558,"rutin",0.920818753952375,0.253365801062421,FALSE
"H1650","Pearson.est","AP inhibitor",-0.38175,-0.988,0.446,1309,0.78,"tanshinone.i, birinapant",0.350665141287858,0.10790539730952,FALSE
"H1650","Pearson.est","ATPase inhibitor",0.55822,1.39,0.114,245,0.522,"k.strophanthidin, evodiamine, ouabain, digitoxin, NMS.873",0.943095148663527,0.282329496997738,FALSE
"H1650","Pearson.est","Aurora kinase inhibitor",0.68046,1.72,0.0185,385,0.126,"PHA.680632, danusertib, AMG900, barasertib, CCT137690, tozasertib, MK.8745, SNS.314, GSK1070916, barasertib.HQPA, MK.5108, KW.2449, alisertib, AT.9283, CCT129202, hesperadin, PF.03814735, ENMD.2076",1.73282827159699,0.899629454882437,TRUE
"H1650","Pearson.est","bacterial 50S ribosomal subunit inhibitor",0.31141,0.783,0.73,353,0.897,"valnemulin, azithromycin, tilmicosin",0.136677139879544,0.0472075569559079,FALSE
"H1650","Pearson.est","bacterial DNA gyrase inhibitor",-0.40901,-1.05,0.393,1300,0.73,"sarafloxacin, lomefloxacin",0.405607449624573,0.136677139879544,FALSE
"H1650","Pearson.est","BCL inhibitor",0.48413,1.24,0.213,304,0.6,"venetoclax, navitoclax, gossypol",0.671620396561262,0.221848749616356,FALSE
"H1650","Pearson.est","Bcr.Abl kinase inhibitor",0.3598,0.892,0.566,519,0.807,"tozasertib, flumatinib, bafetinib, GZD824, imatinib",0.247183568811729,0.0931264652779296,FALSE
"H1650","Pearson.est","benzodiazepine receptor agonist",0.28805,0.73,0.791,150,0.864,"ZK.93423, nefiracetam",0.101823516502323,0.0634862575211067,FALSE
"H1650","Pearson.est","bromodomain inhibitor",0.7214,1.81,0.0146,319,0.136,"I.BET.762, bromosporine, JQ1...., I.BET151, PFI.1",1.83564714421556,0.866461091629782,TRUE
"H1650","Pearson.est","calcium channel blocker",-0.34088,-0.921,0.505,1296,0.744,"SR.33805, tetrandrine, mibefradil",0.296708621881339,0.128427064454121,FALSE
"H1650","Pearson.est","CC chemokine receptor antagonist",-0.36072,-0.93,0.51,1106,0.758,"MK.0812, RS.504393, navarixin, ZK811752",0.292429823902064,0.120330794367946,FALSE
"H1650","Pearson.est","CDK inhibitor",0.56939,1.41,0.121,247,0.523,"indisulam, PHA.793887, JNJ.7706621, alvocidib, PHA.848125, AT.7519, ribociclib, R547, dinaciclib, aminopurvalanol.a, palbociclib, abemaciclib",0.91721462968355,0.281498311132726,FALSE
"H1650","Pearson.est","CHK inhibitor",-0.53348,-1.44,0.115,984,0.532,"LY2603618, LY2606368, SCH.900776, AZD7762, CHIR.124",0.939302159646388,0.274088367704952,FALSE
