"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H358","Pearson.est","EGFR inhibitor",0.40339,1.02,0.442,307,0.857,"CUDC.101, ARRY.334543, tyrphostin.AG.1478, erlotinib, BMS.690514, WZ.3146, brigatinib, XL.647, canertinib, PD.168393, gefitinib, BIBU.1361, BIBX.1382, AST.1306, icotinib, AZD8931, pelitinib",0.354577730650908,0.0670191780768018,FALSE
"H358","Pearson.est","Abl kinase inhibitor",-0.21057,-0.566,0.956,1181,0.985,"imatinib, KW.2449, flumatinib",0.0195421077238999,0.00656376950238827,FALSE
"H358","Pearson.est","acetylcholine receptor agonist",0.18207,0.473,0.996,165,0.986,"xanomeline",0.00174066157630127,0.0061230850587888,FALSE
"H358","Pearson.est","acetylcholine receptor antagonist",-0.76326,-1.95,0.00607,1322,0.152,"iododexetimide, dicycloverine, methscopolamine",2.21681130892474,0.818156412055227,TRUE
"H358","Pearson.est","adenosine receptor antagonist",-0.38629,-0.986,0.437,1428,1,"istradefylline",0.359518563029578,0,FALSE
"H358","Pearson.est","adrenergic receptor agonist",-0.41,-1.07,0.367,1052,1,"clenbuterol, xylazine, ritodrine, midodrine, methyldopa, oxymetazoline, norepinephrine, isoetharine",0.435333935747911,0,FALSE
"H358","Pearson.est","adrenergic receptor antagonist",0.33404,0.858,0.633,188,0.858,"practolol, propranolol, idazoxan, vincamine",0.198596289982645,0.0665127121512946,FALSE
"H358","Pearson.est","AKT inhibitor",0.38861,1.01,0.427,366,0.833,"MK.2206, triciribine, ONC201, AT7867, palomid.529",0.369572124974976,0.0793549985932124,FALSE
"H358","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.33107,-0.908,0.533,1231,0.899,"alectinib, CEP.37440, DMH1",0.273272790973428,0.0462403082667712,FALSE
"H358","Pearson.est","androgen receptor antagonist",-0.71669,-1.85,0.00828,1055,0.218,"bicalutamide, nilutamide, flutamide, enzalutamide, cyproterone.acetate",2.08196966321512,0.661543506395395,TRUE
"H358","Pearson.est","antioxidant",-0.64627,-1.66,0.0363,1200,0.301,"benfotiamine, trolox",1.44009337496389,0.521433504406157,FALSE
"H358","Pearson.est","AP inhibitor",0.68798,1.77,0.0252,59,0.732,"birinapant, GDC.0152",1.59859945921846,0.135488918941608,FALSE
"H358","Pearson.est","ATPase inhibitor",0.41834,1.07,0.383,289,0.983,"k.strophanthidin, oligomycin.a, evodiamine, blebbistatin...., ouabain",0.416801226031377,0.00744648216786438,FALSE
"H358","Pearson.est","Aurora kinase inhibitor",0.31149,0.801,0.693,564,0.89,"MK.5108, barasertib.HQPA, MK.8745, ENMD.2076, barasertib, alisertib, PF.03814735, ZM.447439, MLN.8054, CCT137690, SNS.314, AMG900, danusertib",0.159266765388193,0.0506099933550872,FALSE
"H358","Pearson.est","bacterial 50S ribosomal subunit inhibitor",-0.39566,-1.03,0.386,1359,1,"azalomycin.b, dirithromycin",0.413412695328245,0,FALSE
"H358","Pearson.est","bacterial DNA gyrase inhibitor",0.48743,1.27,0.211,144,1,"lomefloxacin, novobiocin, finafloxacin",0.675717544702307,0,FALSE
"H358","Pearson.est","BCL inhibitor",-0.34022,-0.88,0.556,1385,0.841,"gossypol, ABT.737",0.254925208417942,0.0752040042020878,FALSE
"H358","Pearson.est","Bcr.Abl kinase inhibitor",0.26067,0.679,0.824,304,0.948,"dasatinib, metatinib, bafetinib",0.0840727883028842,0.0231916626619338,FALSE
"H358","Pearson.est","benzodiazepine receptor agonist",0.41764,1.07,0.379,141,0.983,"gamma.aminobutyric.acid, ivermectin, bentazepam, ZK.93423",0.421360790031928,0.00744648216786438,FALSE
"H358","Pearson.est","bromodomain inhibitor",-0.62006,-1.56,0.0789,982,0.379,"bromosporine, JQ1...., I.BET151, PFI.1",1.10292299679058,0.421360790031928,FALSE
"H358","Pearson.est","calcium channel blocker",-0.38051,-1.02,0.407,1224,1,"efonidipine.monoethanolate, SR.33805, mibefradil",0.39040559077478,0,FALSE
"H358","Pearson.est","CC chemokine receptor antagonist",-0.20402,-0.544,0.972,294,0.958,"ZK811752, UNBS.5162, MK.0812, RS.504393, SB.225002, navarixin, PF.04136309",0.0123337350737254,0.0186344909214556,FALSE
"H358","Pearson.est","CDK inhibitor",-0.32523,-0.867,0.597,941,0.841,"BMS.387032, palbociclib, PHA.848125, arcyriaflavin.a, R547, indirubin, AZD5438, abemaciclib, ribociclib, BMS.265246, JNJ.7706621, TG.02",0.224025668870631,0.0752040042020878,FALSE
"H358","Pearson.est","CHK inhibitor",-0.37743,-0.983,0.435,1083,1,"SCH.900776, AZD7762, SB.218078",0.361510743045363,0,FALSE
"H358","Pearson.est","cyclooxygenase inhibitor",-0.342,-0.891,0.58,1247,0.875,"acetylsalicylsalicylic.acid, FR.122047, piroxicam, tryptanthrin, naproxen",0.236572006437063,0.0579919469776868,FALSE
"H358","Pearson.est","cytochrome P450 inhibitor",0.6093,1.55,0.069,254,0.816,"PF.4981517, eplerenone, morin",1.16115090926274,0.0883098412461389,FALSE
"H358","Pearson.est","DNA alkylating agent",-0.28961,-0.753,0.739,1027,0.92,"TH.302, streptozotocin, carmustine, cyclophosphamide, melphalan, satraplatin, temozolomide",0.131355561605174,0.0362121726544447,FALSE
"H358","Pearson.est","DNA inhibitor",-0.21882,-0.582,0.942,1062,1,"primaquine, carmustine, melphalan, busulfan, nithiamide, pibenzimol",0.0259490972071227,0,FALSE
"H358","Pearson.est","DNA methyltransferase inhibitor",0.54864,1.42,0.125,485,0.832,"decitabine, azacitidine, SGI.1027, fdcyd",0.903089986991944,0.0798766737092761,FALSE
"H358","Pearson.est","DNA polymerase inhibitor",0.37945,0.982,0.469,138,0.848,"cephalomannine, foscarnet, cidofovir",0.328827157284917,0.0716041477432862,FALSE
