"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"mTOR inhibitor",1.749,0.0773168463974192,1.81770657168265e-15,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC827",5.02898818165532e-14
"AP inhibitor",1.6535,0.0755523520132685,4.54471748498591e-11,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",4.71514439067288e-10
"DNA methyltransferase inhibitor",1.568,0.164303954528442,4.91911199325153e-09,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",4.53651439377641e-08
"potassium channel blocker",1.5105,0.0971962204160115,2.77990508975808e-07,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",1.92276768708267e-06
"cytochrome P450 inhibitor",1.42335,0.138754715424852,1.86814499856125e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.000103370689920389
"vitamin D receptor agonist",1.356,0.151844796108603,0.000210101338773053,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.00108990069488521
"HSP inhibitor",1.322,0.149968417727832,0.000926496321902759,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.00452348204223112
"HDAC inhibitor",1.166,0.0569764494284585,0.0967786388401707,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.401631351186709
"benzodiazepine receptor agonist",1.1104,0.0654461610791649,0.262209222425643,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.946233280927322
"ATPase inhibitor",1.10575,0.098505610313108,0.276686861938312,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.956875397536664
"RAF inhibitor",1.0673,0.19274010316595,0.393170355853769,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999999999999998
"AKT inhibitor",1.06345,0.124425617179608,0.462291062814404,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999999999999998
"EGFR inhibitor",1.0527,0.124433072266517,0.510643799893822,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999999999999998
"tubulin polymerization inhibitor",1.03945,0.127331922238897,0.567924069219369,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999999999999998
