"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"HCC827","Pearson.est","EGFR inhibitor",-0.31927,-0.792,0.727,1125,0.871,"afatinib, BMS.599626, tyrphostin.AG.1478, osimertinib, pelitinib, lapatinib, PD.168393, WZ8040, PD.153035, erlotinib, TAK.285, icotinib, BIBU.1361",0.138465589140962,0.0599818449923368,FALSE
"HCC827","Pearson.est","Abl kinase inhibitor",-0.31138,-0.773,0.732,1004,0.882,"bosutinib, imatinib, KW.2449, metatinib, tozasertib, bafetinib",0.135488918941608,0.0545314148681803,FALSE
"HCC827","Pearson.est","acetylcholine receptor agonist",-0.278,-0.69,0.837,1262,0.92,"tremorine",0.07727454200674,0.0362121726544447,FALSE
"HCC827","Pearson.est","acetylcholine receptor antagonist",0.46678,1.29,0.197,147,1,"methscopolamine, hyoscyamine",0.705533773838407,0,FALSE
"HCC827","Pearson.est","adenosine receptor antagonist",-0.45639,-1.14,0.276,878,0.735,"MRS.1220, sulmazole, CGS.15943",0.559090917934782,0.133712660915805,FALSE
"HCC827","Pearson.est","adrenergic receptor agonist",-0.35825,-0.884,0.601,1058,0.957,"A61603, buphenine, oxymetazoline, metaraminol, terbutaline, epinephrine, isoxsuprine",0.22112552799726,0.0190880622231565,FALSE
"HCC827","Pearson.est","adrenergic receptor antagonist",0.35699,0.95,0.496,111,0.967,"atipamezole, metoprolol, dihydroergocristine, atenolol......",0.304518323509803,0.0145735259169983,FALSE
"HCC827","Pearson.est","AKT inhibitor",-0.54678,-1.36,0.138,1129,0.56,"GDC.0068, AZD5363, CCT128930, uprosertib, palomid.529, triciribine",0.860120913598763,0.2518119729938,FALSE
"HCC827","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.41805,-1.06,0.392,851,0.785,"alectinib, crizotinib, AZD3463, lorlatinib, NVP.TAE684, GW.788388, CEP.37440",0.406713932979543,0.105130343254747,FALSE
"HCC827","Pearson.est","androgen receptor antagonist",0.28849,0.795,0.672,1032,1,"RU.58841, enzalutamide, nilutamide, flutamide, bicalutamide, cyproterone.acetate",0.172630726946175,0,FALSE
"HCC827","Pearson.est","antioxidant",0.38941,1.02,0.397,30,0.871,"trolox",0.401209493236885,0.0599818449923368,FALSE
"HCC827","Pearson.est","AP inhibitor",-0.46918,-1.15,0.299,958,0.744,"tanshinone.i, GDC.0152, embelin, LCL.161",0.52432881167557,0.128427064454121,FALSE
