"ID","adj.P.Val","P.Value","t","B","Log2FC","Gene","Gene.title","Log2Transformed"
"229819_at",0.97304633500821,0.869100467512382,0.166722621151938,-5.926153925028,0.122732803330086,"A1BG","alpha-1-B glycoprotein",TRUE
"232462_s_at",0.83582292781588,0.415213288384218,-0.830323923416695,-5.60934951084457,-0.692704038428339,"A1BG-AS1","A1BG antisense RNA 1",TRUE
"241547_at",0.771011793494937,0.279887166068968,-1.10766401995847,-5.35913673570321,-1.02936211455899,"A1CF","APOBEC1 complementation factor",TRUE
"220951_s_at",0.821424121108148,0.382966200755163,0.890117499663981,-5.56097565939661,0.256439659473787,"A1CF","APOBEC1 complementation factor",TRUE
"1558450_at",0.768852835478002,0.273757538410662,1.12228222342716,-5.34416017243105,0.361547950046539,"A2M","alpha-2-macroglobulin",TRUE
"217757_at",0.778800606399021,0.299750049584398,-1.06183028756695,-5.40495964993166,-1.46051933699906,"A2M","alpha-2-macroglobulin",TRUE
"1564139_at",0.903021267024792,0.602901078875887,0.527775510938369,-5.80491665120302,0.403523074957423,"A2M-AS1","A2M antisense RNA 1 (head to head)",TRUE
"1564307_a_at",0.250356179889913,0.00351900731628022,3.26527238115836,-1.76350474102685,1.89333628572355,"A2ML1","alpha-2-macroglobulin like 1",TRUE
"1553505_at",0.581813873328156,0.0640118976679141,1.94944208274185,-4.24094719892669,0.632857373240935,"A2ML1","alpha-2-macroglobulin like 1",TRUE
"236394_at",0.778665768282906,0.299132982112742,1.06322085571492,-5.40359486970143,0.545545625388718,"A2MP1","alpha-2-macroglobulin pseudogene 1",TRUE
"219488_at",0.879447209955825,0.533931134661014,0.631880419200557,-5.74706137258154,0.421692150170746,"A4GALT","alpha 1,4-galactosyltransferase",TRUE
"221131_at",0.952669452014258,0.783271145430214,-0.278420876029311,-5.901997600988,-0.105567393349095,"A4GNT","alpha-1,4-N-acetylglucosaminyltransferase",TRUE
"241552_at",0.73223722457785,0.216068363804473,1.27341653672008,-5.17929863256839,0.66550063427909,"AA06","uncharacterized LOC100506677",TRUE
"218075_at",0.750592200257741,0.243526336366187,-1.19812911851695,-5.26368555491926,-0.384561984277299,"AAAS","aladin WD repeat nucleoporin",TRUE
"218434_s_at",0.990810941805126,0.955045773491401,0.0570131282738937,-5.93810040761232,0.0246537128123574,"AACS","acetoacetyl-CoA synthetase",TRUE
"1570020_at",0.714464781302461,0.189400137909426,1.35395722473797,-5.08418829855278,0.881019238788899,"AACSP1","acetoacetyl-CoA synthetase pseudogene 1",TRUE
"205969_at",0.192886797730178,0.00197208449805523,3.50756074914058,-1.25485820452536,2.61424622282599,"AADAC","arylacetamide deacetylase",TRUE
"240420_at",0.859465912277024,0.476817847212852,0.723706615982682,-5.68775339159044,0.659370076908572,"AADACL2","arylacetamide deacetylase like 2",TRUE
"1569582_at",0.0723378272955723,0.000226989642328598,4.39433117165236,0.651062805612588,3.54360590573153,"AADACP1","arylacetamide deacetylase pseudogene 1",TRUE
"223593_at",0.974982245454858,0.878458858923303,0.154699407486445,-5.928033849287,0.122265458293263,"AADAT","aminoadipate aminotransferase",TRUE
"227534_at",0.895758940460776,0.576452227591224,0.566942729358551,-5.78433071451621,0.379332739670714,"AAED1","AhpC/TSA antioxidant enzyme domain containing 1",TRUE
"202851_at",0.0823353801878483,0.000302686994380567,-4.2769452368367,0.397470559876801,-2.54208457418215,"AAGAB","alpha- and gamma-adaptin binding protein",TRUE
"202852_s_at",0.62524538993269,0.0965861048475205,-1.73525285706588,-4.57071901350373,-0.717157417556637,"AAGAB","alpha- and gamma-adaptin binding protein",TRUE
"243284_at",0.885029460971826,0.546104049836424,0.613021072156543,-5.75828674635516,0.233825234739036,"AAGAB","alpha- and gamma-adaptin binding protein",TRUE
"225522_at",0.502830732454795,0.032528802939051,2.28080534146558,-3.68107282732954,0.956479185679589,"AAK1","AP2 associated kinase 1",TRUE
"205434_s_at",0.520046545647116,0.0376549335757491,2.21100888623544,-3.80355778256122,1.29832231881854,"AAK1","AP2 associated kinase 1",TRUE
"214956_at",0.663789119801086,0.131724757715407,1.56512669754899,-4.81218226172725,1.15795528953092,"AAK1","AP2 associated kinase 1",TRUE
"214998_at",0.67368843181164,0.140268701622733,-1.52959868841126,-4.86015911536729,-0.86842494003225,"AAK1","AP2 associated kinase 1",TRUE
"211186_s_at",0.773754791548713,0.285387089645566,1.09474423255899,-5.37222808366634,0.376219641904533,"AAK1","AP2 associated kinase 1",TRUE
"205435_s_at",0.800179799309599,0.33585679952587,0.983755775289176,-5.47899811842713,0.327545277102224,"AAK1","AP2 associated kinase 1",TRUE
"238100_at",0.8552783609358,0.467669877257759,0.738990391741017,-5.67713892897614,0.541206203583369,"AAK1","AP2 associated kinase 1",TRUE
"220268_at",0.898745710465686,0.588561319857776,0.548903156520057,-5.7939899080502,0.444053792750353,"AAMDC","adipogenesis associated Mth938 domain containing",TRUE
"221600_s_at",0.931370027472813,0.69643135375812,0.395259174995785,-5.86387485078111,0.154782357484136,"AAMDC","adipogenesis associated Mth938 domain containing",TRUE
"221599_at",0.976392182310915,0.887543734644594,-0.143049902300396,-5.92972148638829,-0.0657643361178746,"AAMDC","adipogenesis associated Mth938 domain containing",TRUE
"201511_at",0.797287748779547,0.33043512368257,-0.995092732372041,-5.46856497287621,-0.303650958206463,"AAMP","angio associated migratory cell protein",TRUE
"207225_at",0.780216511409289,0.301586626910319,-1.05770357380254,-5.40900040633915,-0.483847429407829,"AANAT","aralkylamine N-acetyltransferase",TRUE
"218089_at",0.740476003158683,0.22947107312519,-1.23581162714828,-5.22200240000138,-0.384675602739254,"AAR2","AAR2 splicing factor homolog",TRUE
"201000_at",0.914776697425609,0.64102130056639,-0.472741407346357,-5.83141477949338,-0.169137409174153,"AARS","alanyl-tRNA synthetase",TRUE
"230024_at",0.700061364939874,0.171900461451074,-1.41179562844742,-5.01288532841945,-1.17246073893908,"AARS2","alanyl-tRNA synthetase 2, mitochondrial",TRUE
"231845_at",0.759352376881856,0.25690901266686,-1.16373912177647,-5.30074549408423,-0.435856967416159,"AARS2","alanyl-tRNA synthetase 2, mitochondrial",TRUE
"228041_at",0.866602763987519,0.49777434541817,-0.689325960554246,-5.71085839089795,-0.177611181866107,"AASDH","aminoadipate-semialdehyde dehydrogenase",TRUE
"235435_at",0.998870448604467,0.995551026867797,0.00563924157314483,-5.93966799164419,0.00199169210595151,"AASDH","aminoadipate-semialdehyde dehydrogenase",TRUE
"202170_s_at",0.871451481476429,0.512409553655032,0.665803217080927,-5.72604754247521,0.245297624263582,"AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",TRUE
"202169_s_at",0.929234395612144,0.688978011309925,0.405529009225671,-5.85989999526046,0.135830842712618,"AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",TRUE
"224313_at",0.974435013896831,0.874867285344288,0.159310830452186,-5.92732940252209,0.0952610119914543,"AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",TRUE
"210852_s_at",0.529740674725706,0.0413619193489536,2.16573549027447,-3.88176703994004,2.25735064249379,"AASS","aminoadipate-semialdehyde synthase",TRUE
"214829_at",0.931582451098271,0.697629633349212,0.39361214413364,-5.86450297735279,0.566786687279562,"AASS","aminoadipate-semialdehyde synthase",TRUE
"1563088_a_at",0.957610494018084,0.80984628234677,0.243515873489967,-5.91084184928419,0.121779612251081,"AATBC","apoptosis associated transcript in bladder cancer",TRUE
"209165_at",0.885029460971826,0.545555614509765,0.613865903761208,-5.75779090245723,0.202456788593771,"AATF","apoptosis antagonizing transcription factor",TRUE
"205986_at",0.877371513533639,0.527289447886636,-0.642267998164302,-5.74073877406474,-0.33702395276199,"AATK","apoptosis associated tyrosine kinase",TRUE
"206527_at",0.816800680706682,0.368011572034371,-0.91896288924864,-5.53652565273098,-0.614539083754122,"ABAT","4-aminobutyrate aminotransferase",TRUE
"209459_s_at",0.899998627338565,0.594305607755395,-0.540409922222545,-5.79843253448719,-0.991598516625908,"ABAT","4-aminobutyrate aminotransferase",TRUE
"209460_at",0.920780424288498,0.663109115338341,-0.44152888897838,-5.84517510251742,-0.832270407246082,"ABAT","4-aminobutyrate aminotransferase",TRUE
"216066_at",0.762510938865139,0.262005743513499,1.15099207491012,-5.31424202666551,0.675262794993785,"ABCA1","ATP binding cassette subfamily A member 1",TRUE
"1570279_at",0.794620886196317,0.32659194478877,1.00320711236549,-5.46103082849333,0.850427953709427,"ABCA1","ATP binding cassette subfamily A member 1",TRUE
"203505_at",0.994875434900261,0.975983042892896,0.0304471478797722,-5.93923196927996,0.0382241886482735,"ABCA1","ATP binding cassette subfamily A member 1",TRUE
"203504_s_at",0.996555192440456,0.982844229884918,0.0217472579117502,-5.93945313016599,0.0167786965516719,"ABCA1","ATP binding cassette subfamily A member 1",TRUE
"220159_at",0.914862008781588,0.641315339928156,-0.472322821315202,-5.83160540426917,-0.199147854606596,"ABCA11P","ATP binding cassette subfamily A member 11, pseudogene",TRUE
"215465_at",0.95238233774064,0.782101837259197,-0.27996451856959,-5.90157934992021,-0.508228406018635,"ABCA12","ATP binding cassette subfamily A member 12",TRUE
"1553604_at",0.606032418428309,0.0795297708743353,1.83786218920498,-4.41615716878695,2.44014263385165,"ABCA13","ATP binding cassette subfamily A member 13",TRUE
"1553295_at",0.85334340854827,0.460340387060621,0.75136415220827,-5.66839136909334,0.675576299149788,"ABCA13","ATP binding cassette subfamily A member 13",TRUE
"1553605_a_at",0.913160385122315,0.635584410079819,-0.480496771374773,-5.82785308908372,-0.759744154182623,"ABCA13","ATP binding cassette subfamily A member 13",TRUE
"231164_at",0.407748633394319,0.0155378596392979,-2.62129329853669,-3.05359043713003,-2.1568278981667,"ABCA17P","ATP binding cassette subfamily A member 17, pseudogene",TRUE
"212772_s_at",0.332429060350567,0.00811928080885751,-2.90784497193983,-2.493229693317,-1.12715782732339,"ABCA2","ATP binding cassette subfamily A member 2",TRUE
