"Feature_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"KEGG_HOMOLOGOUS_RECOMBINATION",1.18275,1.01842115997799,1.62474463133865e-07,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"H1299, HCC44, H1703",7.55506253572471e-06
"KEGG_DNA_REPLICATION",1.04791666666667,1.53399872338061,5.18696097500436e-08,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,6,"H2126, H460, H1299, HCC44, H1703, HCC15",3.21591580450271e-06
"KEGG_MISMATCH_REPAIR",1.03566666666667,1.44466663869894,4.40852347906153e-08,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,4,"H460, HCC44, A549, H1703",3.21591580450271e-06
"KEGG_PHENYLALANINE_METABOLISM",1.03283333333333,1.09196876689711,4.39011978278975e-05,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H460",0.000680468566332411
"KEGG_BASE_EXCISION_REPAIR",0.984083333333333,0.910691890650713,0.00385519218170664,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H460, HCC44",0.02353817641561
"KEGG_PYRIMIDINE_METABOLISM",0.960333333333333,0.735403455542767,0.0575556683431852,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H460",0.175497611669384
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.95575,0.241440798314844,0.705125447449297,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.922999363061497
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.951166666666667,0.651452340171675,0.159811080572889,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.377825235366307
"KEGG_PROTEASOME",0.9135,1.10131850731088,0.00137332360738408,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H460, A549",0.0106981626914189
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.860833333333333,1.09987154897398,0.000441836979103135,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"A549",0.00391341324348491
"KEGG_SELENOAMINO_ACID_METABOLISM",0.822416666666667,0.961451219235639,0.0275998402701993,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H460",0.0950661164862421
