"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H1650","Input","KEGG_ABC_TRANSPORTERS",0.21787,0.626,0.962,3673,1,"ABCG2, ABCA5, ABCB8, ABCC1, TAP2, ABCA12, ABCB9, ABCB11, ABCC6",0.0168249279621871,0,FALSE
"H1650","Input","KEGG_ACUTE_MYELOID_LEUKEMIA",0.25175,0.732,0.865,4849,0.984,"TCF7L1, MAP2K1, AKT2, STAT3, JUP, MTOR, TCF7L2, MAPK3, PIK3R3, RUNX1, AKT3, BAD, RAF1, SOS1, CCNA1, GRB2",0.0629838925351858,0.00700490156865849,FALSE
"H1650","Input","KEGG_ADHERENS_JUNCTION",0.41444,1.19,0.209,5643,1,"TCF7L1, CDH1, SNAI1, CTNND1, ACTB, CSNK2A2, TJP1, ACTN4, RAC1, BAIAP2, SMAD2, NECTIN4, TGFBR2, PARD3, ERBB2, PTPN1, TCF7L2, AFDN, CTNNA1, NECTIN1, EGFR, PTPRJ, MAPK3, PTPRM, ACP1, EP300, SSX2IP, PTPRF, PTPN6, RHOA, NECTIN2, MET, CDC42, IQGAP1, ACTN1",0.679853713888946,0,FALSE
"H1650","Input","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",-0.2253,-0.843,0.645,17522,0.891,"IRS2, PCK2, PRKCQ, PRKAG1, PRKAA2, PPARGC1A, RXRB, LEPR, IRS1, NFKBIE, CAMKK1, IKBKB",0.190440285364732,0.0501222959631252,FALSE
"H1650","Input","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.31265,0.906,0.608,2867,0.963,"GLS, ABAT, GOT2, GAD1, GPT2, GFPT1",0.216096420727265,0.0163737128754655,FALSE
"H1650","Input","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",-0.25839,-0.993,0.413,14636,0.872,"FXYD4, KCNJ1, KRAS, PIK3CG, ATP1B2, PIK3R1, IGF1, FXYD2, PIK3CD, PRKCG, HSD11B1, IRS2, SGK1, NR3C2, IRS1, SLC9A3R2, INSR",0.384049948343599,0.0594835150674328,FALSE
"H1650","Input","KEGG_ALLOGRAFT_REJECTION",0.40437,1.17,0.23,2640,1,"CD40, IL12A, IL12B",0.638272163982407,0,FALSE
"H1650","Input","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.34113,0.989,0.486,1909,0.963,"PLA2G12A, ACOX1, PLA2G4B",0.313363730737707,0.0163737128754655,FALSE
"H1650","Input","KEGG_ALZHEIMERS_DISEASE",0.29454,0.867,0.689,4938,0.969,"CHP1, NDUFAB1, UQCRC2, CALM3, PPP3R1, PSENEN, CACNA1D, CYCS, PPP3CA, CYC1, CAPN1, UQCRFS1, NAE1, BID, GAPDH, MME, GNAQ, CASP7, NDUFS6, APP, NDUFB8, COX6B1, ADAM10, EIF2AK3, MAPK3, UQCR10, CASP8, NDUFA8, GRIN2A, SDHA, ITPR2, NDUFB1, BAD, NDUFV2, CALML6, COX6C, SDHB, NDUFB3, NDUFB9, CALM1, COX8A, NDUFB6, NDUFB7",0.161780778092374,0.0136762229492347,FALSE
"H1650","Input","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",-0.29986,-1.11,0.261,16497,0.782,"AARS2, MARS2, TARS2, CARS2, PARS2, FARS2, WARS2",0.583359492661719,0.106793246940152,FALSE
