"Feature_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",1.895,0.0636396103067892,0.000289629744604357,"transcriptomics, proteomics",2,0,"",0.041578894589144
"KEGG_STEROID_BIOSYNTHESIS",1.89,0.15556349186104,0.000461987717657156,"transcriptomics, proteomics",2,0,"",0.041578894589144
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1.745,0.0212132034355964,0.00121238612149647,"transcriptomics, proteomics",2,0,"",0.0727431672897883
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",1.67,0.014142135623731,0.00342297751285385,"transcriptomics, proteomics",2,0,"",0.123227190462739
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",1.64,0.0707106781186547,0.00677055376904717,"transcriptomics, proteomics",2,0,"",0.174099954061213
"KEGG_SULFUR_METABOLISM",1.605,0.0353553390593273,0.0063332138373181,"transcriptomics, proteomics",2,0,"",0.174099954061213
"KEGG_O_GLYCAN_BIOSYNTHESIS",1.56,0.183847763108502,0.0122357389880599,"transcriptomics, proteomics",2,0,"",0.244714779761198
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",1.42,0.212132034355964,0.0342985336504672,"transcriptomics, proteomics",2,0,"",0.440981146934578
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",1.405,0.318198051533946,0.0506311492502255,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_THYROID_CANCER",1.365,0.318198051533946,0.058491388316597,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",1.34,0.367695526217005,0.0751623370973159,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",1.33,0.0989949493661166,0.0688290062405358,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1.325,0.233345237791561,0.0751988455575317,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",1.325,0.190918830920368,0.0720966520798124,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",1.315,0.148492424049175,0.0814272699800075,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_AXON_GUIDANCE",1.305,0.00707106781186548,0.0852058335410343,"transcriptomics, proteomics",2,0,"",0.494743549593103
"KEGG_VEGF_SIGNALING_PATHWAY",1.305,0.304055915910215,0.10200462829771,"transcriptomics, proteomics",2,0,"",0.509186963684416
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",1.305,0.148492424049175,0.101315557252163,"transcriptomics, proteomics",2,0,"",0.509186963684416
"KEGG_TIGHT_JUNCTION",1.289,0.468104689145495,0.104666209201797,"transcriptomics, proteomics",2,0,"",0.509186963684416
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",1.28,0.0424264068711929,0.0921989818241345,"transcriptomics, proteomics",2,0,"",0.509186963684416
"KEGG_STARCH_AND_SUCROSE_METABOLISM",1.27,0.014142135623731,0.110974428958171,"transcriptomics, proteomics",2,0,"",0.520061871228757
"KEGG_GALACTOSE_METABOLISM",1.2555,0.388201622871415,0.0772815015308789,"transcriptomics, proteomics",2,0,"",0.488563619880045
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",1.25,0.197989898732233,0.112680072099564,"transcriptomics, proteomics",2,0,"",0.520061871228757
"KEGG_ETHER_LIPID_METABOLISM",1.24,0.169705627484771,0.161651168915835,"transcriptomics, proteomics",2,0,"",0.559561738554814
"KEGG_BLADDER_CANCER",1.225,0.134350288425444,0.153923437309331,"transcriptomics, proteomics",2,0,"",0.55886923320755
"KEGG_N_GLYCAN_BIOSYNTHESIS",1.225,0.134350288425444,0.143457200396019,"transcriptomics, proteomics",2,0,"",0.55886923320755
"KEGG_ARACHIDONIC_ACID_METABOLISM",1.22,0.15556349186104,0.151914978229566,"transcriptomics, proteomics",2,0,"",0.55886923320755
