"Feature_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1.89,0.134536240470737,2.00471207292328e-05,"GSE12790, GSE31625, Coldren et al",3,1,"GSE12790",0.0037287644556373
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",1.74,0.265141471671257,0.000240278884420519,"GSE12790, GSE31625, Coldren et al",3,0,"",0.0132556357325164
"KEGG_FOLATE_BIOSYNTHESIS",1.72666666666667,0.485008590989204,0.000285067435107879,"GSE12790, GSE31625, Coldren et al",3,2,"GSE12790, GSE31625",0.0132556357325164
"KEGG_SULFUR_METABOLISM",1.61,0.36592348927064,0.00246148439985586,"GSE12790, GSE31625, Coldren et al",3,0,"",0.0809457043004935
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",1.52333333333333,0.325781112609883,0.00571361232076466,"GSE12790, GSE31625, Coldren et al",3,0,"",0.118081321295803
"KEGG_O_GLYCAN_BIOSYNTHESIS",1.51666666666667,0.090184995056458,0.00649537824712837,"GSE12790, GSE31625, Coldren et al",3,0,"",0.120814035396588
"KEGG_LEISHMANIA_INFECTION",1.48666666666667,0.231804515342849,0.0123878219177962,"GSE12790, GSE31625, Coldren et al",3,1,"GSE12790",0.147394735159805
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",1.47333333333333,0.440945952848343,0.00309397652868314,"GSE12790, GSE31625, Coldren et al",3,0,"",0.0822113763335805
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",1.46666666666667,0.214553800556721,0.0159709174925683,"GSE12790, GSE31625, Coldren et al",3,0,"",0.152044767501969
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",1.42666666666667,0.290057465570761,0.00997167355728823,"GSE12790, GSE31625, Coldren et al",3,1,"GSE12790",0.142671637050432
"KEGG_ECM_RECEPTOR_INTERACTION",1.41666666666667,0.370720020140986,0.015729245299059,"GSE12790, GSE31625, Coldren et al",3,1,"GSE12790",0.152044767501969
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",1.41333333333333,0.205020324195757,0.0264058915738126,"GSE12790, GSE31625, Coldren et al",3,0,"",0.196459833309166
"KEGG_BLADDER_CANCER",1.35333333333333,0.205993527406405,0.0399686235833409,"GSE12790, GSE31625, Coldren et al",3,1,"GSE12790",0.219324697141609
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",1.35,0.563471383479232,0.00906084745066521,"GSE12790, GSE31625, Coldren et al",3,1,"GSE12790",0.142671637050432
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",1.34666666666667,0.208166599946613,0.0301444056498553,"GSE12790, GSE31625, Coldren et al",3,1,"GSE12790",0.202195220019937
