"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"retinoid receptor agonist",0.92605,1.09193924426128,1.66400152023328e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,2,"H1650, HCC44",0.000153457917977069
"AP inhibitor",0.5873,1.08658620894694,0.0438754357167872,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.1102480208072
"benzodiazepine receptor agonist",0.4223,0.895357740911713,0.865382426366316,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"PPAR receptor agonist",0.38665,1.15610977784164,0.0530154216941511,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.12223000001707
"bacterial DNA gyrase inhibitor",0.35545,1.2284457220835,0.012649125448034,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC4006",0.0415394694008123
"calcium channel blocker",0.29445,1.0616762057188,0.402547831280457,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.604470685832317
"mTOR inhibitor",0.26405,1.02621355502952,0.592236071461401,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.80695747500506
"thymidylate synthase inhibitor",0.2137,1.43089953672874,7.39328678363733e-06,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,2,"H1650, H1975",0.000122703989735374
"adrenergic receptor antagonist",0.19995,0.892149118701577,0.977749368256249,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"adenosine receptor antagonist",0.18895,1.29351233286087,0.00190836375351865,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H1650",0.00791970957710239
"RAF inhibitor",0.1679,1.23716347471056,0.0130123639086882,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC2279",0.0415394694008123
"CC chemokine receptor antagonist",0.1142,1.05000965409096,0.566913414297166,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.797522260790928
"glutamate receptor antagonist",0.10475,0.770982891133813,0.999978974219987,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"DNA methyltransferase inhibitor",0.086,1.29129469912952,0.00358354270471327,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC15",0.0123930851871334
"FGFR inhibitor",0.02035,1.33518231654746,0.000302255460173701,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC2279",0.00179194308531551
"glycogen synthase kinase inhibitor",0.00310000000000001,0.987101386570002,0.810811589422749,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"DNA inhibitor",-0.00239999999999997,0.800987114687082,0.99984380739688,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"VEGFR inhibitor",-0.01115,1.00782753719912,0.808224861401723,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"cytochrome P450 inhibitor",-0.01675,1.06010162745197,0.640402283544856,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.857312734422952
"phosphatase inhibitor",-0.0243,0.896128990949993,0.993894468034018,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"ATPase inhibitor",-0.0527,1.12959480858357,0.268011224251416,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.427787146401299
"ALK tyrosine kinase receptor inhibitor",-0.0541,1.0203735074652,0.766561794889117,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.978840445781488
"PI3K inhibitor",-0.1006,0.790835427686577,0.999900114130944,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"protein synthesis inhibitor",-0.10245,0.860060247277694,0.997930617016542,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"sodium channel blocker",-0.1224,0.953706972541191,0.937628741184561,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"TGF beta receptor inhibitor",-0.12615,1.38715696660472,1.01999320054934e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,2,"H358, H3255",0.000122703989735374
"EGFR inhibitor",-0.13285,0.801937408963279,0.999775733491809,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"potassium channel blocker",-0.1357,1.07544923783408,0.487287581057094,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.697325331512739
"progesterone receptor agonist",-0.1384,1.28912334145096,0.0292190473696394,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC4006",0.0757869041150023
"HCV inhibitor",-0.1441,1.15067270484887,0.129682874394435,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.244629058516775
"HMGCR inhibitor",-0.14745,1.46506617328545,4.79148424610221e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,4,"H1650, HCC4006, HCC2279, H520",0.000397693192426484
"adrenergic receptor agonist",-0.1578,1.03727261807614,0.670118751083818,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.882854862538999
"topoisomerase inhibitor",-0.1712,1.16045384043894,0.118133051059189,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,2,"HCC95, H520",0.228024261346806
"MET inhibitor",-0.1739,1.48528363054263,1.33838081003218e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,4,"H2126, CALU3, H520, A549",0.000138857009040839
"acetylcholine receptor antagonist",-0.17865,1.1797608265639,0.0666301937506903,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,2,"H358, H1703",0.149467731927224
"phosphodiesterase inhibitor",-0.1988,0.883495545516427,0.988362896984305,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"RET tyrosine kinase inhibitor",-0.21205,1.32006014516086,0.00189976072233017,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H520",0.00791970957710239
"sterol demethylase inhibitor",-0.22645,1.33126997044571,0.000467871198965814,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC4006",0.00258888730094417
"bacterial 50S ribosomal subunit inhibitor",-0.2339,1.26490515142649,0.00258517790325817,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.00975317118047402
"src inhibitor",-0.2649,1.29879745594875,0.000806675370735804,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.00393847386888658
"estrogen receptor antagonist",-0.2942,1.19480148538311,0.0881483331885304,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.187597734734565
"ribonucleotide reductase inhibitor",-0.2995,1.14715540634902,0.0763237338277799,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.166707102834361
"KIT inhibitor",-0.3422,1.08505205308074,0.173851148824212,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.307013730902332
"DNA polymerase inhibitor",-0.34505,1.08193853677943,0.208523400702626,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.353213107312612
"vitamin D receptor agonist",-0.35875,1.23239868271509,0.0160218853261817,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,3,"H1650, H460, H1703",0.0462166081139457
"histamine receptor antagonist",-0.3755,0.781867837802191,0.996651950634769,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"tyrosine kinase inhibitor",-0.37635,0.900661352036731,0.906593074797396,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"PDGFR tyrosine kinase receptor inhibitor",-0.3846,1.02518180159218,0.40783564345313,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.604470685832317
"androgen receptor antagonist",-0.3849,1.18804256967855,0.0194859168743378,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.0539110366856679
"PLK inhibitor",-0.4099,1.39722996261211,5.35147324679525e-07,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,3,"H1650, HCC95, H460",1.11043069871001e-05
"proteasome inhibitor",-0.41495,1.34652400353847,9.32231298331748e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H520",0.000703410888741228
"dopamine receptor antagonist",-0.4209,0.82659764921285,0.977937351304792,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"tubulin polymerization inhibitor",-0.45795,0.998904582925453,0.255897843969672,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.416461197048682
"cyclooxygenase inhibitor",-0.46155,0.660057371908326,0.999957068199221,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999978974219987
"MEK inhibitor",-0.46725,0.96932406590203,0.453345566109778,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.660134771703712
"estrogen receptor agonist",-0.4684,1.03259980529474,0.201524433681871,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.348469333241568
"Bcr.Abl kinase inhibitor",-0.4745,1.24931772959231,0.00072339100870527,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,2,"HCC95, H520",0.00375259085765859
"protein tyrosine kinase inhibitor",-0.47895,1.11704461933217,0.165875716007256,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H3255",0.29929748757831
"Abl kinase inhibitor",-0.48905,1.23017702940845,0.0011063036417712,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC95",0.00510128901483389
"acetylcholine receptor agonist",-0.49585,1.11711099552184,0.0283991624643543,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.0757869041150023
"p38 MAPK inhibitor",-0.4965,1.17283504919983,0.0022750778486948,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.00899197435436515
"opioid receptor agonist",-0.4968,1.0426688226298,0.10860869227471,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.225363036470024
"serotonin receptor antagonist",-0.5256,1.08338987490775,0.0451618398487325,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H358",0.1102480208072
"NFkB pathway inhibitor",-0.53025,0.90854677920292,0.593065132232634,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.80695747500506
"AKT inhibitor",-0.53965,0.829082071678641,0.735555867265182,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.953924015359532
