"Feature_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.672466666666667,1.25558175854102,0.000500902490448373,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.00237269600738703
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.597333333333333,1.72334585976842,6.29964077415202e-06,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,5,"H1650, H2126, H3255, H1299, H1703",5.66967669673682e-05
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.5966,1.16305378821691,0.131233783810938,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H1650",0.241041643734376
"KEGG_SPLICEOSOME",0.545733333333333,1.11641789837387,0.0584208765996686,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.127674486094202
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.524466666666667,1.51136810618094,4.6745523473771e-06,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,3,"H1650, H2009, H1703",5.25887139079924e-05
"KEGG_ETHER_LIPID_METABOLISM",0.506933333333333,1.35497277076841,0.00048229690721715,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,2,"H1650, H2009",0.0023463092783537
"KEGG_SPHINGOLIPID_METABOLISM",0.500466666666667,1.19246586454088,0.0149998744158875,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,2,"H2009, H460",0.040908748406966
"KEGG_VIRAL_MYOCARDITIS",0.4722,1.13090154933386,0.0615437159070151,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.131879391229318
"KEGG_MISMATCH_REPAIR",0.443066666666667,1.30684912598786,0.00598004614674568,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,3,"HCC95, H2009, H358",0.0188843562528811
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.4406,1.12519228832866,0.0971748312056591,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H1650",0.197930497114806
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.440133333333333,1.75886009622575,5.49128974491639e-07,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,6,"HCC95, H2009, HCC15, H1299, H460, H520",1.00243076619302e-05
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.431933333333333,1.3744170954921,0.00052659565934736,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,3,"H2009, H1299, H460",0.00243044150468012
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.419333333333333,1.12305505949916,0.100780850160188,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.201561700320376
"KEGG_ABC_TRANSPORTERS",0.417666666666667,1.43609782131335,0.000127881591164287,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,4,"H2126, H358, HCC15, H460",0.000852543941095244
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.3892,0.924497485123675,0.736958168918568,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.861379677956768
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",0.3855,1.68689486015898,3.93671322667305e-08,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H520",14,6,"H1650, H2009, H2126, H358, A549, HCC15",1.59025956229216e-06
