"Feature_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.671066666666667,1.25372128747448,0.000426182074797522,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.00213091037398761
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.595533333333333,1.1644635715744,0.10538060181695,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H1650",0.2107612036339
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.593666666666667,1.73656523330505,1.30448296897215e-07,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,6,"H1650, H2009, H2126, H3255, H1299, H1703",3.35438477735696e-06
"KEGG_SPLICEOSOME",0.544866666666667,1.10170166214858,0.0702248665386982,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.151223108390862
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.527933333333333,1.51368700608182,1.78300678980218e-06,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,3,"H1650, H2009, H1703",1.88788954214348e-05
"KEGG_ETHER_LIPID_METABOLISM",0.510133333333333,1.36421159160398,0.00022153062354379,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,4,"H1650, H2009, HCC15, H1299",0.00141196252453187
"KEGG_SPHINGOLIPID_METABOLISM",0.499066666666667,1.20477096025206,0.0191483360923705,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,2,"H2009, H460",0.0485450774172773
"KEGG_VIRAL_MYOCARDITIS",0.476933333333333,1.1351842812429,0.0484473424986856,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.112490195578313
"KEGG_MISMATCH_REPAIR",0.4562,1.31209849368973,0.00312392037222046,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,2,"H2009, H358",0.0114756258571364
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.445933333333333,1.12665722171302,0.0772475532879669,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H1650",0.162256925794493
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.4268,1.75512535978813,3.90704348207531e-07,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,6,"HCC95, H2009, HCC15, H1299, H460, H520",6.7064447155462e-06
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.4218,1.3733701093088,0.000761213320407723,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.00351329224803564
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.4216,1.11629942219818,0.100978242437355,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.206546404985499
"KEGG_ABC_TRANSPORTERS",0.404933333333333,1.42574313788918,0.00168316203119409,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,4,"H2126, H358, HCC15, H460",0.00673264812477634
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",0.388285714285714,1.69462895546586,1.47530814022101e-08,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H520",14,5,"H1650, H2009, H2126, H358, HCC15",7.19281879832146e-07
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.3882,0.920117554601429,0.7572091187989,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.885049619375338
"KEGG_HOMOLOGOUS_RECOMBINATION",0.3702,1.16894343013558,0.0683533960586392,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"HCC95",0.150511677944397
"KEGG_PROTEASOME",0.363533333333333,0.98287594527973,0.609425235874158,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.761781544842697
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",0.3628,1.27145216189993,0.020464111084835,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,3,"HCC95, H358, HCC15",0.0511602777120874
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.357666666666667,1.25015819951298,0.0128034339470889,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.0349184562193333
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.347538461538462,1.52767861014594,0.0124461230963727,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, A549, HCC15, HCC44, H1703, H460, H520",13,4,"H2009, H2126, HCC15, H460",0.0349184562193333
"KEGG_SELENOAMINO_ACID_METABOLISM",0.345,1.15678427424601,0.104142599652175,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.210625482442601
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.3406,1.11980143648008,0.158927184909564,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.28323656716556
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.3348,1.23347807902231,0.0228762241976909,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,2,"HCC15, H520",0.0549029380744581
"KEGG_OTHER_GLYCAN_DEGRADATION",0.315666666666667,1.37681888354832,0.0011544930492352,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H460",0.00506850606981308
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.314666666666667,1.42311407366615,0.000416775295504676,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"HCC95",0.00213091037398761
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.313133333333333,1.01377299985652,0.458354837744466,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.625029324197
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.29,1.73812542700462,5.38240751787206e-07,"HCC827, HCC95, H1650, H1975, H2009, H3255, H358, H1299, H1703, H460, H520",11,3,"H358, H1299, H520",8.07361127680809e-06
"KEGG_DILATED_CARDIOMYOPATHY",0.28,1.40528817583543,0.000506445531726697,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.00246378907326501
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.274466666666667,1.35546043134884,0.00376030931188481,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H460",0.0135371135227853
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",0.271,1.16437003200382,0.100937533549697,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.206546404985499
"KEGG_PYRIMIDINE_METABOLISM",0.267666666666667,0.767341576638524,0.999504660123495,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.999504660123495
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.266066666666667,1.03914143590251,0.50616180580069,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.660211051044379
