"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"transcriptomics","Log2FC","KEGG_ABC_TRANSPORTERS",0.23561,0.676,0.941,7191,0.988,"ABCA12, ABCB8, ABCB9, ABCA13, ABCD1, ABCC3, ABCA1, ABCA2, ABCB11, ABCC10, ABCD4, ABCA4, ABCC5, ABCA5, TAP2, ABCC11, ABCG1, ABCB6, ABCG2",0.0264103765727431,0.00524305541237188,FALSE
"transcriptomics","Log2FC","KEGG_ACUTE_MYELOID_LEUKEMIA",0.36169,1.06,0.344,5916,0.767,"PIK3R2, IKBKB, MAPK3, RPS6KB2, PML, RARA, PIK3CA, JUP, STAT5B, STAT3, BRAF, RELA, TCF7L1, RUNX1, BAD, PIM1, PIK3R3, CCNA1, STAT5A, MAPK1, PIK3R5, PIK3CB, CEBPA",0.46344155742847,0.115204636051019,FALSE
"transcriptomics","Log2FC","KEGG_ADHERENS_JUNCTION",0.36058,1.04,0.372,3562,0.764,"NECTIN1, CTNND1, CDH1, ERBB2, BAIAP2, NECTIN4, PTPN1, RAC2, MAPK3, INSR, PTPN6, SNAI2, MET, IGF1R, EP300, EGFR, PTPRF, TCF7L1, PTPRB, SRC",0.429457060118102,0.11690664142431,FALSE
"transcriptomics","Log2FC","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.27558,0.807,0.773,5975,1,"TRADD, RXRA, CPT1B, PPARA, IKBKB, ACSL1, RXRB, CPT1C, ADIPOR1, IRS2, STAT3, PRKAA1, RELA, ACSL3, PRKAG2, PRKAB2, ACSL5, ACSL6, SLC2A1, MAPK10, IRS1, NFKBIA",0.111820506081675,0,FALSE
"transcriptomics","Log2FC","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.44972,1.28,0.121,3496,0.78,"GLUL, AGXT, GLS2, ASL, ABAT, ASS1, GPT, NIT2, IL4I1",0.91721462968355,0.10790539730952,FALSE
"transcriptomics","Log2FC","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.37286,1.07,0.347,5894,0.783,"PIK3R2, SCNN1A, MAPK3, INSR, PIK3CA, SFN, SCNN1G, IRS2, NEDD4L, PIK3R3, SCNN1B, HSD11B2, MAPK1, PIK3R5, IRS1, PIK3CB",0.459670525209126,0.106238237942057,FALSE
"transcriptomics","Log2FC","KEGG_ALLOGRAFT_REJECTION",-0.23407,-0.792,0.762,16990,1,"PRF1, IL5",0.1180450286604,0,FALSE
"transcriptomics","Log2FC","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.40981,1.21,0.181,3971,0.676,"PLA2G12A, PLA2G6, PLA2G4B, PLA2G10, PLA2G4E, ACOX1, PLA2G2C",0.742321425130815,0.170053304058364,FALSE
"transcriptomics","Log2FC","KEGG_ALZHEIMERS_DISEASE",0.24418,0.704,0.918,6624,0.998,"NDUFV1, CAPN1, CACNA1D, GRIN1, ATP2A3, CALML3, COX5B, LRP1, ATP5F1E, NDUFB7, MAPK3, CDK5, FADD, NDUFS8, EIF2AK3, NDUFA3, NDUFV2, COX6C, UQCR10, GRIN2A, APH1A, COX6B2, GRIN2D, CHP1, PPP3CA, SDHD, ADAM10, BAD, UQCR11, GNAQ, NDUFB4, NDUFAB1, APOE, CALML6, UQCRB, BACE2, NDUFA6, UQCRHL, ITPR3, NDUFA5, UQCRC1, NDUFB5, BID, MAPK1, CACNA1F, UQCRFS1, UQCRC2, PLCB3, COX6A1, GSK3B, NDUFA2, SNCA, APP, ERN1, CAPN2, ATP5PD, GRIN2C, NOS1, CHP2",0.0371573187987575,0.000869458712628891,FALSE
"transcriptomics","Log2FC","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",-0.55987,-1.95,0.022,17343,0.143,"IARS2, MARS2, FARS2, FARSB, WARS2, RARS2, PSTK, YARS2",1.65757731917779,0.844663962534938,TRUE
"transcriptomics","Log2FC","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.51252,1.48,0.0432,5085,0.535,"HK2, MPI, GMPPA, NANP, GCK, PGM1, GMPPB, NPL, NAGK, GALT, CYB5R1, NANS, FPGT, HK1, GALE, UXS1, CYB5R3, HEXB, GNPDA1, AMDHD2, PGM2",1.36451625318509,0.271646217978772,FALSE
"transcriptomics","Log2FC","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.28452,0.828,0.751,4515,0.999,"CAT, CCS, CASP1, MAPK13, GRIN1, GRIN2A, GPX1, GRIN2D, CHP1, MAPK11, PPP3CA, BAD, MAP3K5",0.124360062995832,0.000434511774017692,FALSE
